date,AguasVerdes_1,BigstoneBayLOTW_6,ATQ206_3,Auburn2_5,Lake226_26,BRW100_10,PP1LOTW_53,Albino_2,Auburn_4,BluebellPass_7,Blueberry_8,Borreguil_9,Chorerras_11,Clearwater_12,Crystal_13,Cuadrada_14,Daisy_15,Denise_16,EastCarol_17,FalseDuckIslandPond_18,ForestIslandLOTW_19,George_20,Hawley_21,Jasper_22,Kluane_23,KoorasteLinajarv_24,Lagarde_25,LittleSoulier_27,Llaviacu_28,LongPond_29,LongPond2_30,LostPack_31,LOWBB_32,LOWPP1_33,LOWWB_34,Lumsden_35,MainDuckIslandPond_36,Middle_37,MiddleRange_38,MiddleRange2_39,Milltown_40,Mosca_41,NE13_42,NE20_43,NoName_44,NorthRaft_45,OCF48_46,Panther_47,Panther2_48,Peipsi_49,PigeonIslandPond_50,Pleasant_51,Pleasant2_52,Ramp223_54,Ramp226_55,RDC312_56,RioSeco_57,RioSecoSuperior_58,Sabattus_59,Sabattus2_60,SaintAugustin_61,SE22_62,Spruce_63,SunapeeBuoy_64,SunapeeBuoy2_65,SunapeeHC_66,SunapeeHC2_67,Suwa_68,Taylor_69,Toredora_70,UpperCarrol_71,Vortsjarv_72,W16_73,WAP12_74,WAP20_75,WAP21_76,WAP21_77,WhitefishBayLOTW_78
1780-01-01,29.4549993416294,0,0,0,0,0,0,0,0,0.26999999396503,0,29.4549993416294,0.677499984856695,0,0,29.4549993416294,0,1.38999996893108,0,0,0,0,0,0,0,1.43249996798113,0,0,1.222499972675,0,0,0,0,0,0,0,0,0,0,0,26.8124994006939,29.4549993416294,0,0,9.7474997821264,0,0,0,0,0.537499987985939,0,0,0,0,0,0,29.4549993416294,29.4549993416294,0,0,0,0,0,0,0,0,0,1.76499996054918,1.38999996893108,1.222499972675,0.26999999396503,1.59749996429309,0,0,0,0,0,0
1781-01-01,29.4624993414618,0,0,0,0,0,0,0,0,0.279999993741512,0,29.4624993414618,0.684999984689057,0,0,29.4624993414618,0,1.44749996764585,0,0,0,0,0,0,0,1.45999996736646,0,0,1.22499997261912,0,0,0,0,0,0,0,0,0,0,0,26.854999399744,29.4624993414618,0,0,9.79749978100881,0,0,0,0,0.539999987930059,0,0,0,0,0,0,29.4624993414618,29.4624993414618,0,0,0,0,0,0,0,0,0,1.76499996054918,1.44749996764585,1.22499997261912,0.279999993741512,1.6224999637343,0,0,0,0,0,0
1782-01-01,29.4749993411824,0,0,0,0,0,0,0.249999994412065,0,0.289999993517995,0,29.4749993411824,0.689999984577298,0,0,29.4749993411824,0,1.50999996624887,0,0,0,0,0,0.249999994412065,0,1.4649999672547,0,0,1.2349999723956,0,0,0,0,0,0,0,0,0,0,0,26.9024993986823,29.4749993411824,0,0,9.84999977983534,0,0,0,0,0.539999987930059,0,0,0,0,0,0,29.4749993411824,29.4749993411824,0,0,0,0,0,0,0,0,0,1.76499996054918,1.50999996624887,1.2349999723956,0.289999993517995,1.62749996362254,0,0,0,0,0,0
1783-01-01,29.4824993410148,0,0,0,0,0,0,0.257499994244426,0,0.299999993294477,0,29.4824993410148,0.692499984521419,0,0,29.4824993410148,0,1.57249996485189,0,0,0,0,0,0.257499994244426,0,1.49499996658415,0,0,1.23999997228384,0,0,0,0,0,0,0,0,0,0,0,26.9424993977882,29.4824993410148,0,0,9.90249977866188,0,0,0,0,0.544999987818301,0,0,0,0,0,0,29.4824993410148,29.4824993410148,0,0,0,0,0,0,0,0,0,1.76499996054918,1.57249996485189,1.23999997228384,0.299999993294477,1.65749996295199,0,0,0,0,0,0
1784-01-01,29.4949993407354,0,0,0,0,0,0,0.264999994076788,0,0.30999999307096,0,29.4949993407354,0.69749998440966,0,0,29.4949993407354,0,1.89249995769933,0,0,0,0,0,0.264999994076788,0,1.52749996585771,0,0,1.24249997222796,0,0,0,0,0,0,0,0,0,0,0,26.9849993968382,29.4949993407354,0,0,9.94999977760017,0,0,0,0,0.547499987762421,0,0,0,0,0,0,29.4949993407354,29.4949993407354,0,0,0,0,0,0,0,0,0,1.76499996054918,1.89249995769933,1.24249997222796,0.30999999307096,1.68999996222556,0,0,0,0,0,0
1785-01-01,29.5049993405119,0,0,0,0,0,0,0.26999999396503,0,0.319999992847443,0,29.5049993405119,0.702499984297901,0,0,29.5049993405119,0,1.96499995607883,0,0,0,0,0,0.26999999396503,0,1.52999996580184,0,0,1.24999997206032,0,0,0,0,0,0,0,0,0,0,0,27.0274993958883,29.5049993405119,0,0,10.0024997764267,0,0,0,0,0.547499987762421,0,0,0,0,0,0,29.5049993405119,29.5049993405119,0,0,0,0,0,0,0,0,0,1.76499996054918,1.96499995607883,1.24999997206032,0.319999992847443,1.6949999621138,0,0,0,0,0,0
1786-01-01,29.5124993403442,0,0,0,0,0,0,0.277499993797392,0,0.58249998698011,0,29.5124993403442,0.704999984242022,0,0,29.5124993403442,0,2.03499995451421,0,0,0,0,0,0.277499993797392,0,1.5624999650754,0,0,1.25499997194856,0,0,0,0,0,0,0,0,0,0,0,27.0699993949383,29.5124993403442,0,0,10.0524997753091,0,0,0,0,0.552499987650663,0,0,0,0,0,0,29.5124993403442,29.5124993403442,0,0,0,0,0,0,0,0,0,1.76499996054918,2.03499995451421,1.25499997194856,0.58249998698011,1.72499996144325,0,0,0,0,0,0
1787-01-01,29.5224993401207,0,0,0,0,0,0,0.282499993685633,0,0.599999986588955,0,29.5224993401207,0.709999984130263,0,0,29.5224993401207,0,2.10999995283782,0,0,0,0,0,0.282499993685633,0,1.58999996446073,0,0,1.25999997183681,0,0,0,0,0,0,0,0,0,0,0,27.1149993939325,29.5224993401207,0,0,10.1049997741356,0,0,0,0,0.554999987594783,0,0,0,0,0,0,29.5224993401207,29.5224993401207,0,0,0,0,0,0,0,0,0,1.76499996054918,2.10999995283782,1.25999997183681,0.599999986588955,1.74999996088445,0,0,0,0,0,0
1788-01-01,29.5324993398972,0,0,0,0,0,0,0.289999993517995,0,0.61999998614192,0,29.5324993398972,0.717499983962625,0,0,29.5324993398972,0,2.18249995121732,0,0,0,0,0,0.289999993517995,0,1.6224999637343,0,0,1.26999997161329,0,0,0,0,0,0,0,0,0,0,0,27.1574993929826,29.5324993398972,0,0,10.1549997730181,0,0,0,0,0.559999987483025,0,0,0,0,0,0,29.5324993398972,29.5324993398972,0,0,0,0,0,0,0,0,0,1.76499996054918,2.18249995121732,1.26999997161329,0.61999998614192,1.77749996026978,0,0,0,0,0,0
1789-01-01,29.5449993396178,0,0,0,0,0,0,0.294999993406236,0,0.637499985750765,0,29.5449993396178,0.722499983850867,0,0,29.5449993396178,0,2.24999994970858,0,0.249999994412065,0,0,0,0.294999993406236,0,1.62749996362254,0,0,1.27499997150153,0,0,0,0,0,0,0,0,0,0,0,27.1949993921444,29.5449993396178,0,0,10.2049997719005,0,0,0,0,0.559999987483025,0,0,0,0,0,0,29.5449993396178,29.5449993396178,0,0,0,0,0,0,0,0,0,1.76499996054918,2.24999994970858,1.27499997150153,0.637499985750765,1.78999995999038,0,0,0,0,0,0
1790-01-01,29.5524993394502,0,0,0,0,0,0,0.554999987594783,0,0.912499979604036,0,29.5524993394502,0.724999983794987,0,0,29.5524993394502,0,2.57999994233251,0,0.262499994132668,0,0,0,0.554999987594783,0,1.65499996300787,0,0,1.27999997138977,0,0,0,0,0,0,0,0,0,0,0,27.2299993913621,29.5524993394502,0,0,10.2599997706711,0,0,0,0,0.562499987427145,0,0,0,0,0,0,29.5524993394502,29.5524993394502,0,0,0,0,0,0,0,0,0,1.76499996054918,2.57999994233251,1.27999997138977,0.912499979604036,1.81499995943159,0,0,0,0,0,0
1791-01-01,29.5624993392266,0,0,0,0,0,0,0.562499987427145,0,0.937499979045242,0,29.5624993392266,0.727499983739108,0,0,29.5624993392266,0,2.65999994054437,0,0.26999999396503,0,0,0,0.562499987427145,0,1.68749996228144,0,0,1.28749997122213,0,0,0,0,0,0,0,0,0,0,0,27.269999390468,29.5624993392266,0,0,10.3074997696094,0,0,0,0,0.567499987315387,0,0,0,0,0,0,29.5624993392266,29.5624993392266,0,0,0,0,0,0,0,0,0,1.76499996054918,2.65999994054437,1.28749997122213,0.937499979045242,1.84249995881692,0,0,0,0,0,0
1792-01-01,29.5749993389472,0,0,0,0,0,0,0.569999987259507,0,0.96749997837469,0,29.5749993389472,0.73499998357147,0,0,29.5749993389472,0,2.73999993875623,0,0.279999993741512,0,0,0,0.569999987259507,0,1.68999996222556,0,0,1.28999997116625,0,0,0,0,0,0,0,0.249999994412065,0,0,0,27.3049993896857,29.5749993389472,0,0,10.3574997684918,0,0,0,0,0.567499987315387,0.249999994412065,0,0,0,0,0,29.5749993389472,29.5749993389472,0,0,0,0,0,0,0,0,0,1.76499996054918,2.73999993875623,1.28999997116625,0.96749997837469,1.84999995864928,0,0,0,0,0,0
1793-01-01,29.5824993387796,0,0,0,0,0,0,0.57999998703599,0,0.994999977760017,0,29.5824993387796,0.73749998351559,0,0,29.5824993387796,0,2.82249993691221,0,0.289999993517995,0,0,0,0.57999998703599,0,1.72249996149912,0,0,1.29499997105449,0,0,0,0,0,0,0,0.259999994188547,0,0,0,27.3449993887916,29.5824993387796,0,0,10.4099997673184,0,0,0,0,0.569999987259507,0.259999994188547,0,0,0,0,0,29.5824993387796,29.5824993387796,0,0,0,0,0,0,0,0,0,1.76499996054918,2.82249993691221,1.29499997105449,0.994999977760017,1.8774999580346,0,0,0,0,0,0
1794-01-01,29.5949993385002,0,0,0,0,0,0,0.587499986868352,0,1.02249997714534,0,29.5949993385002,0.742499983403832,0,0,29.5949993385002,0,2.90249993512407,0,0.302499993238598,0,0,0,0.587499986868352,0,1.75249996082857,0,0,1.30499997083098,0,0,0,0,0,0,0,0.267499994020909,0,0,0,27.3799993880093,29.5949993385002,0,0,10.4624997661449,0,0,0,0,0.574999987147748,0.267499994020909,0,0,0,0,0,29.5949993385002,29.5949993385002,0,0,0.257499994244426,0,0,0,0,0,0,1.76499996054918,2.90249993512407,1.30499997083098,1.02249997714534,1.90749995736405,0,0,0,0,0,0
1795-01-01,29.5999993383884,0,0,0,0,0,0,0.597499986644834,0,1.04999997653067,0,29.5999993383884,0.749999983236194,0,0,29.5999993383884,0,2.98499993328005,0,0.312499993015081,0,0,0,0.597499986644834,0,1.75749996071681,0,0,1.3074999707751,0,0,0,0,0,0,0,0.277499993797392,0,0,0,27.4199993871152,29.5999993383884,0,0,10.5124997650273,0,0,0,0,0.574999987147748,0.277499993797392,0,0,0,0,0,29.5999993383884,29.5999993383884,0,0,0.267499994020909,0,0,0,0,0,0,1.76499996054918,2.98499993328005,1.3074999707751,1.04999997653067,1.91499995719641,0,0,0,0,0,0
