date,AguasVerdes_1,BigstoneBayLOTW_6,ATQ206_3,Auburn2_5,Lake226_26,BRW100_10,PP1LOTW_53,Albino_2,Auburn_4,BluebellPass_7,Blueberry_8,Borreguil_9,Chorerras_11,Clearwater_12,Crystal_13,Cuadrada_14,Daisy_15,Denise_16,EastCarol_17,FalseDuckIslandPond_18,ForestIslandLOTW_19,George_20,Hawley_21,Jasper_22,Kluane_23,KoorasteLinajarv_24,Lagarde_25,LittleSoulier_27,Llaviacu_28,LongPond_29,LongPond2_30,LostPack_31,LOWBB_32,LOWPP1_33,LOWWB_34,Lumsden_35,MainDuckIslandPond_36,Middle_37,MiddleRange_38,MiddleRange2_39,Milltown_40,Mosca_41,NE13_42,NE20_43,NoName_44,NorthRaft_45,OCF48_46,Panther_47,Panther2_48,Peipsi_49,PigeonIslandPond_50,Pleasant_51,Pleasant2_52,Ramp223_54,Ramp226_55,RDC312_56,RioSeco_57,RioSecoSuperior_58,Sabattus_59,Sabattus2_60,SaintAugustin_61,SE22_62,Spruce_63,SunapeeBuoy_64,SunapeeBuoy2_65,SunapeeHC_66,SunapeeHC2_67,Suwa_68,Taylor_69,Toredora_70,UpperCarrol_71,Vortsjarv_72,W16_73,WAP12_74,WAP20_75,WAP21_76,WAP21_77,WhitefishBayLOTW_78
1770-01-01,0.447499989997596,0,0,0,0,0,0,0,0,0,0,0.447499989997596,1.0899999756366,0,0,0.447499989997596,0,0,0,0,0,0,0,0,0,0,0,0,0.144999996758997,0,0,0,0,0,0,0,0,0,0,0,0.187499995809048,0.447499989997596,0,0,5.66499987337738,0,0,0,0,1.57749996474013,0,0,0,0,0,0,0.447499989997596,0.447499989997596,0,0,0,0,0,0,0,0,0,0.0724999983794987,0,0.144999996758997,0,0,0,0,0,0,0,0
1771-01-01,0.449999989941716,0,0,0,0,0,0,0,0,0,0,0.449999989941716,1.09249997558072,0,0,0.449999989941716,0,0,0,0,0,0,0,0,0,0,0,0,0.147499996703118,0,0,0,0,0,0,0,0,0,0,0,0.187499995809048,0.449999989941716,0,0,5.68499987293035,0,0,0,0,1.57749996474013,0,0,0,0,0,0,0.449999989941716,0.449999989941716,0,0,0,0,0,0,0,0,0,0.0724999983794987,0,0.147499996703118,0,0,0,0,0,0,0,0
1772-01-01,0.452499989885837,0,0,0,0,0,0,0,0,0,0,0.452499989885837,1.09249997558072,0,0,0.452499989885837,0,0,0,0,0,0,0,0,0,0,0,0,0.147499996703118,0,0,0,0,0,0,0,0,0,0,0,0.187499995809048,0.452499989885837,0,0,5.70499987248331,0,0,0,0,1.57749996474013,0,0,0,0,0,0,0.452499989885837,0.452499989885837,0,0,0,0,0,0,0,0,0,0.0749999983236194,0,0.147499996703118,0,0,0,0,0,0,0,0
1773-01-01,0.454999989829957,0,0,0,0,0,0,0,0,0,0,0.454999989829957,1.09249997558072,0,0,0.454999989829957,0,0,0,0,0,0,0,0,0,0,0,0,0.149999996647239,0,0,0,0,0,0,0,0,0,0,0,0.187499995809048,0.454999989829957,0,0,5.71999987214804,0,0,0,0,1.57749996474013,0,0,0,0,0,0,0.454999989829957,0.454999989829957,0,0,0,0,0,0.249999994412065,0.249999994412065,0.249999994412065,0.249999994412065,0.0749999983236194,0,0.149999996647239,0,0,0,0,0,0,0,0
1774-01-01,0.454999989829957,0,0,0,0,0,0,0,0,0,0,0.454999989829957,1.09249997558072,0,0,0.454999989829957,0,0,0,0,0,0,0,0,0,0,0,0,0.149999996647239,0,0,0,0,0,0,0,0,0,0,0,0.189999995753169,0.454999989829957,0,0,5.739999871701,0,0,0,0,1.57749996474013,0,0,0,0,0,0,0.454999989829957,0.454999989829957,0,0,0,0,0,0.259999994188547,0.259999994188547,0.259999994188547,0.259999994188547,0.07749999826774,0,0.149999996647239,0,0,0,0,0,0,0,0
1775-01-01,0.457499989774078,0,0,0,0,0,0,0,0,0,0,0.457499989774078,1.09749997546896,0,0,0.457499989774078,0,0,0,0,0,0,0,0,0,0,0,0,0.152499996591359,0,0,0,0,0,0,0,0,0,0,0,0.189999995753169,0.457499989774078,0,0,5.75749987130985,0,0,0,0,1.57749996474013,0,0,0,0,0,0,0.457499989774078,0.457499989774078,0,0,0,0,0,0.27249999390915,0.27249999390915,0.27249999390915,0.27249999390915,0.07749999826774,0,0.152499996591359,0,0,0,0,0,0,0,0
1776-01-01,0.459999989718199,0,0,0,0,0,0,0,0,0,0,0.459999989718199,1.09749997546896,0,0,0.459999989718199,0,0,0,0,0,0,0,0,0,0,0,0,0.152499996591359,0,0,0,0,0,0,0,0,0,0,0,0.189999995753169,0.459999989718199,0,0,5.77749987086281,0,0,0,0,1.57749996474013,0,0,0,0,0,0,0.459999989718199,0.459999989718199,0,0,0,0,0,0.282499993685633,0.282499993685633,0.282499993685633,0.282499993685633,0.07749999826774,0,0.152499996591359,0,0,0,0,0,0,0,0
1777-01-01,0.459999989718199,0,0,0,0,0,0,0,0,0,0,0.459999989718199,1.09749997546896,0,0,0.459999989718199,0,0,0,0,0,0,0,0,0,0,0,0,0.152499996591359,0,0,0,0,0,0,0,0,0,0,0,0.189999995753169,0.459999989718199,0,0,5.79499987047166,0,0,0,0,1.57749996474013,0,0,0,0,0,0,0.459999989718199,0.459999989718199,0,0,0,0,0,0.292499993462116,0.292499993462116,0.292499993462116,0.292499993462116,0.07749999826774,0,0.152499996591359,0,0,0,0,0,0,0,0
1778-01-01,0.462499989662319,0,0,0,0,0,0,0,0,0,0,0.462499989662319,1.09749997546896,0,0,0.462499989662319,0,0,0,0,0,0,0,0,0,0,0,0,0.152499996591359,0,0,0,0,0,0,0,0,0,0,0,0.19249999569729,0.462499989662319,0,0,5.8124998700805,0,0,0,0,1.57749996474013,0,0,0,0,0,0,0.462499989662319,0.462499989662319,0,0,0,0,0,0.567499987315387,0.567499987315387,0.567499987315387,0.567499987315387,0.0799999982118607,0,0.152499996591359,0,0,0,0,0,0,0,0
1779-01-01,0.462499989662319,0,0,0,0,0,0,0,0,0,0,0.462499989662319,1.1024999753572,0,0,0.462499989662319,0,0,0,0,0,0,0,0,0,0,0,0,0.157499996479601,0,0,0,0,0,0,0,0,0,0,0,0.19249999569729,0.462499989662319,0,0,5.82999986968935,0,0,0,0,1.57749996474013,0,0,0,0,0,0,0.462499989662319,0.462499989662319,0,0,0,0,0,0.592499986756593,0.592499986756593,0.592499986756593,0.592499986756593,0.0824999981559813,0,0.157499996479601,0,0,0,0,0,0,0,0
