date,AguasVerdes_1,BigstoneBayLOTW_6,ATQ206_3,Auburn2_5,Lake226_26,BRW100_10,PP1LOTW_53,Albino_2,Auburn_4,BluebellPass_7,Blueberry_8,Borreguil_9,Chorerras_11,Clearwater_12,Crystal_13,Cuadrada_14,Daisy_15,Denise_16,EastCarol_17,FalseDuckIslandPond_18,ForestIslandLOTW_19,George_20,Hawley_21,Jasper_22,Kluane_23,KoorasteLinajarv_24,Lagarde_25,LittleSoulier_27,Llaviacu_28,LongPond_29,LongPond2_30,LostPack_31,LOWBB_32,LOWPP1_33,LOWWB_34,Lumsden_35,MainDuckIslandPond_36,Middle_37,MiddleRange_38,MiddleRange2_39,Milltown_40,Mosca_41,NE13_42,NE20_43,NoName_44,NorthRaft_45,OCF48_46,Panther_47,Panther2_48,Peipsi_49,PigeonIslandPond_50,Pleasant_51,Pleasant2_52,Ramp223_54,Ramp226_55,RDC312_56,RioSeco_57,RioSecoSuperior_58,Sabattus_59,Sabattus2_60,SaintAugustin_61,SE22_62,Spruce_63,SunapeeBuoy_64,SunapeeBuoy2_65,SunapeeHC_66,SunapeeHC2_67,Suwa_68,Taylor_69,Toredora_70,UpperCarrol_71,Vortsjarv_72,W16_73,WAP12_74,WAP20_75,WAP21_76,WAP21_77,WhitefishBayLOTW_78
1770-01-01,1.58499996457249,0,0,0,0,0,0,0,0,0,0,1.58499996457249,0.742499983403832,0,0,1.58499996457249,0,0,0,0,0,0,0,0,0,0,0,0,0.469999989494681,0,0,0,0,0,0,0,0,0,0,0,0,1.58499996457249,0,0,6.92999984510243,0,0,0,0,0,0,0,0,0,0,0,1.58499996457249,1.58499996457249,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.469999989494681,0,0,0,0,0,0,0,0
1771-01-01,1.58749996451661,0,0,0,0,0,0,0,0,0,0,1.58749996451661,0.744999983347952,0,0,1.58749996451661,0,0,0,0,0,0,0,0,0,0,0,0,0.472499989438802,0,0,0,0,0,0,0,0,0,0,0,0,1.58749996451661,0,0,6.96749984426424,0,0,0,0,0,0,0,0,0,0,0,1.58749996451661,1.58749996451661,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.472499989438802,0,0,0,0,0,0,0,0
1772-01-01,1.58999996446073,0,0,0,0,0,0,0,0,0,0,1.58999996446073,0.752499983180314,0,0,1.58999996446073,0,0,0,0,0,0,0,0,0,0,0,0,0.477499989327043,0,0,0,0,0,0,0,0,0,0,0,0,1.58999996446073,0,0,7.00749984337017,0,0,0,0,0,0,0,0,0,0,0,1.58999996446073,1.58999996446073,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.477499989327043,0,0,0,0,0,0,0,0
1773-01-01,1.58999996446073,0,0,0,0,0,0,0,0,0,0,1.58999996446073,0.757499983068556,0,0,1.58999996446073,0,0,0,0,0,0,0,0,0,0,0,0,0.479999989271164,0,0,0,0,0,0,0,0,0,0,0,0,1.58999996446073,0,0,7.04249984258786,0,0,0,0,0,0,0,0,0,0,0,1.58999996446073,1.58999996446073,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.479999989271164,0,0,0,0,0,0,0,0
1774-01-01,1.58999996446073,0,0,0,0,0,0,0,0,0,0,1.58999996446073,0.762499982956797,0,0,1.58999996446073,0,0,0,0,0,0,0,0,0,0,0,0,0.482499989215285,0,0,0,0,0,0,0,0,0,0,0,0,1.58999996446073,0,0,7.08249984169379,0,0,0,0,0,0,0,0,0,0,0,1.58999996446073,1.58999996446073,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.482499989215285,0,0,0,0,0,0,0,0
1775-01-01,1.58999996446073,0,0,0,0,0,0,0,0,0,0,1.58999996446073,0.769999982789159,0,0,1.58999996446073,0,0,0,0,0,0,0,0,0,0,0,0,0.487499989103526,0,0,0,0,0,0,0,0,0,0,0,0,1.58999996446073,0,0,7.1199998408556,0,0,0,0,0,0,0,0,0,0,0,1.58999996446073,1.58999996446073,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.487499989103526,0,0,0,0,0,0,0,0
1776-01-01,1.59249996440485,0,0,0,0,0,0,0,0,0,0,1.59249996440485,0.7749999826774,0,0,1.59249996440485,0,0,0,0,0,0,0,0,0,0,0,0,0.489999989047647,0,0,0,0,0,0,0,0,0,0,0,0,1.59249996440485,0,0,7.15749984001741,0,0,0,0,0,0,0,0,0,0,0,1.59249996440485,1.59249996440485,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.489999989047647,0,0,0,0,0,0,0,0
1777-01-01,1.59499996434897,0,0,0,0,0,0,0,0,0,0,1.59499996434897,0.777499982621521,0,0,1.59499996434897,0,0,0,0,0,0,0,0,0,0,0,0,0.492499988991767,0,0,0,0,0,0,0,0,0,0,0,0,1.59499996434897,0,0,7.19749983912334,0,0,0,0,0,0,0,0,0,0,0,1.59499996434897,1.59499996434897,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.492499988991767,0,0,0,0,0,0,0,0
1778-01-01,1.59499996434897,0,0,0,0,0,0,0,0,0,0,1.59499996434897,0.787499982398003,0,0,1.59499996434897,0,0,0,0,0,0,0,0,0,0,0,0,0.497499988880008,0,0,0,0,0,0,0,0,0,0,0,0,1.59499996434897,0,0,7.23499983828515,0,0,0,0,0,0,0,0,0,0,0,1.59499996434897,1.59499996434897,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.497499988880008,0,0,0,0,0,0,0,0
1779-01-01,1.59499996434897,0,0,0,0,0,0,0,0,0,0,1.59499996434897,0.792499982286245,0,0,1.59499996434897,0,0,0,0,0,0,0,0,0,0,0,0,0.499999988824129,0,0,0,0,0,0,0,0,0,0,0,0,1.59499996434897,0,0,7.27249983744696,0,0,0,0,0,0,0,0,0,0,0,1.59499996434897,1.59499996434897,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.499999988824129,0,0,0,0,0,0,0,0
1780-01-01,1.59499996434897,0,0,0,0,0,0,0,0,0,0,1.59499996434897,0.794999982230365,0,0,1.59499996434897,0,0,0,0,0,0,0,0,0,0,0,0,0.50249998876825,0,0,0,0,0,0,0,0,0,0,0,0,1.59499996434897,0,0,7.30999983660877,0,0,0,0,0,0,0,0,0,0,0,1.59499996434897,1.59499996434897,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.50249998876825,0,0,0,0,0,0,0,0
1781-01-01,1.59499996434897,0,0,0,0,0,0,0,0,0,0,1.59499996434897,0.799999982118607,0,0,1.59499996434897,0,0,0,0,0,0,0,0,0,0,0,0,0.50499998871237,0,0,0,0,0,0,0,0,0,0,0,0,1.59499996434897,0,0,7.34749983577058,0,0,0,0,0,0,0,0,0,0,0,1.59499996434897,1.59499996434897,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.50499998871237,0,0,0,0,0,0,0,0
1782-01-01,1.59749996429309,0,0,0,0,0,0,0,0,0,0,1.59749996429309,0.807499981950969,0,0,1.59749996429309,0,0,0,0,0,0,0,0,0,0,0,0,0.509999988600612,0,0,0,0,0,0,0,0,0,0,0,0,1.59749996429309,0,0,7.38749983487651,0,0,0,0,0,0,0,0,0,0,0,1.59749996429309,1.59749996429309,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.509999988600612,0,0,0,0,0,0,0,0
1783-01-01,1.59999996423721,0,0,0,0,0,0,0,0,0,0,1.59999996423721,0.81249998183921,0,0,1.59999996423721,0,0,0,0,0,0,0,0,0,0,0,0,0.512499988544732,0,0,0,0,0,0,0,0,0,0,0,0,1.59999996423721,0,0,7.42499983403832,0,0,0,0,0,0,0,0,0,0,0,1.59999996423721,1.59999996423721,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.512499988544732,0,0,0,0,0,0,0,0
1784-01-01,1.59999996423721,0,0,0,0,0,0,0,0,0,0,1.59999996423721,0.817499981727451,0,0,1.59999996423721,0,0,0,0,0,0,0,0,0,0,0,0,0.514999988488853,0,0,0,0,0,0,0,0,0,0,0,0,1.59999996423721,0,0,7.46499983314425,0,0,0,0,0,0,0,0,0,0,0,1.59999996423721,1.59999996423721,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.514999988488853,0,0,0,0,0,0,0,0
1785-01-01,1.59999996423721,0,0,0,0,0,0,0,0,0,0,1.59999996423721,0.824999981559813,0,0,1.59999996423721,0,0,0,0,0,0,0,0,0,0,0,0,0.519999988377094,0,0,0,0,0,0,0,0,0,0,0,0,1.59999996423721,0,0,7.50249983230606,0,0,0,0,0,0,0,0,0,0,0,1.59999996423721,1.59999996423721,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.519999988377094,0,0,0,0,0,0,0,0
1786-01-01,1.59999996423721,0,0,0,0,0,0,0,0,0,0,1.59999996423721,0.827499981503934,0,0,1.59999996423721,0,0,0,0,0,0,0,0,0,0,0,0,0.522499988321215,0,0,0,0,0,0,0,0,0,0,0,0,1.59999996423721,0,0,7.54249983141199,0,0,0,0,0,0,0,0,0,0,0,1.59999996423721,1.59999996423721,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.522499988321215,0,0,0,0,0,0,0,0
1787-01-01,1.60249996418133,0,0,0,0,0,0,0,0,0,0,1.60249996418133,0.834999981336296,0,0,1.60249996418133,0,0,0,0,0,0,0,0,0,0,0,0,0.524999988265336,0,0,0,0,0,0,0,0,0,0,0,0,1.60249996418133,0,0,7.57749983062968,0,0,0,0,0,0,0,0,0,0,0,1.60249996418133,1.60249996418133,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.524999988265336,0,0,0,0,0,0,0,0
1788-01-01,1.60249996418133,0,0,0,0,0,0,0,0,0,0,1.60249996418133,0.839999981224537,0,0,1.60249996418133,0,0,0,0,0,0,0,0,0,0,0,0,0.529999988153577,0,0,0,0,0,0,0,0,0,0,0,0,1.60249996418133,0,0,7.61499982979149,0,0,0,0,0,0,0,0,0,0,0,1.60249996418133,1.60249996418133,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.529999988153577,0,0,0,0,0,0,0,0
1789-01-01,1.60499996412545,0,0,0,0,0,0,0,0,0,0,1.60499996412545,0.847499981056899,0,0,1.60499996412545,0,0,0,0,0,0,0,0,0,0,0,0,0.532499988097697,0,0,0,0,0,0,0,0,0,0,0,0,1.60499996412545,0,0,7.65499982889742,0,0,0,0,0,0,0,0,0,0,0,1.60499996412545,1.60499996412545,0,0,0,0,0,0,0,0,0,0.707499984186143,0,0.532499988097697,0,0,0,0,0,0,0,0
